facet,type,Historical,Unexposed,Exposed
NH Black,Burden relative to Historical,"0 (0, 0)","20.1 (11.6, 28.6)","35.8 (24.9, 46.8)"
NH Black,Burden relative to Unexposed,"-20.1 (-28.6, -11.6)","0 (0, 0)","15.7 (6.4, 25)"
Not Hospitalized,HR,"1 (1, 1)","1.3 (1.22, 1.39)","1.5 (1.39, 1.62)"
Not Hospitalized,HR Unexposed,"0.77 (0.72, 0.82)","1 (1, 1)","1.15 (1.08, 1.23)"
Not Hospitalized,Burden per 1000,"50.6 (47.5, 53.6)","65.3 (63.2, 67.4)","74.1 (70.1, 78.2)"
Not Hospitalized,Burden relative to Historical,"0 (0, 0)","14.7 (11, 18.4)","23.6 (18.5, 28.6)"
Not Hospitalized,Burden relative to Unexposed,"-14.7 (-18.4, -11)","0 (0, 0)","8.8 (4.3, 13.4)"
Hospitalized,HR,"1 (1, 1)","0.94 (0.81, 1.08)","1.24 (1.06, 1.45)"
Hospitalized,HR Unexposed,"1.07 (0.92, 1.23)","1 (1, 1)","1.32 (1.21, 1.44)"
Hospitalized,Burden per 1000,"89.6 (77.3, 101.8)","84 (80.4, 87.5)","108.3 (100.1, 116.5)"
Hospitalized,Burden relative to Historical,"0 (0, 0)","-5.6 (-18.3, 7.1)","18.7 (4, 33.5)"
Hospitalized,Burden relative to Unexposed,"5.6 (-7.1, 18.3)","0 (0, 0)","24.3 (15.3, 33.3)"
